'sample interval','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG','ECG'
1947,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.027,0.017,0.010,-0.006,-0.008,-0.007,0.008,0.038,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.014,0.011,0.018,0.012,0.007,0.001,0.003
1948,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.027,0.017,0.010,-0.006,-0.008,-0.007,0.008,0.038,0.031,0.017,0.010,-0.008,-0.012,-0.017,-0.014,0.011,0.018,0.012,0.007,0.001,0.003
1949,-0.001,0.001,0.005,0.013,0.019,0.018,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.017,0.010,-0.006,-0.008,-0.007,0.008,0.038,0.032,0.017,0.010,-0.008,-0.012,-0.017,-0.014,0.011,0.018,0.012,0.007,0.001,0.003
1950,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.017,0.010,-0.006,-0.008,-0.008,0.008,0.038,0.032,0.017,0.010,-0.008,-0.012,-0.017,-0.014,0.011,0.018,0.012,0.007,0.001,0.003
1951,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.017,0.010,-0.006,-0.008,-0.008,0.008,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.017,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1952,-0.001,0.001,0.005,0.013,0.019,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.017,0.010,-0.006,-0.008,-0.008,0.008,0.038,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1953,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.017,0.010,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1954,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.032,0.028,0.018,0.010,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1955,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.033,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1956,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.009,-0.003,-0.003,0.002,0.016,0.033,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1957,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.009,-0.003,-0.003,0.002,0.017,0.033,0.028,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1958,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.003,0.002,0.017,0.033,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.032,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1959,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.003,0.002,0.017,0.033,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.033,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1960,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.003,0.002,0.017,0.033,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.039,0.033,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1961,-0.001,0.001,0.005,0.013,0.020,0.019,0.014,0.010,-0.003,-0.003,0.002,0.017,0.033,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.013,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1962,-0.001,0.001,0.005,0.013,0.020,0.020,0.014,0.010,-0.003,-0.003,0.002,0.017,0.034,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.013,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1963,-0.001,0.000,0.005,0.013,0.020,0.020,0.014,0.010,-0.003,-0.003,0.002,0.017,0.034,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.013,-0.018,-0.015,0.011,0.018,0.012,0.007,0.001,0.003
1964,-0.001,0.000,0.005,0.013,0.021,0.020,0.014,0.010,-0.003,-0.003,0.002,0.017,0.034,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.013,-0.018,-0.016,0.011,0.018,0.012,0.007,0.001,0.003
1965,-0.001,0.001,0.005,0.013,0.021,0.020,0.015,0.010,-0.003,-0.003,0.002,0.017,0.034,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.013,-0.018,-0.016,0.011,0.018,0.012,0.007,0.002,0.003
1966,-0.001,0.001,0.005,0.014,0.021,0.020,0.014,0.010,-0.003,-0.003,0.002,0.017,0.034,0.029,0.018,0.011,-0.006,-0.008,-0.008,0.008,0.040,0.033,0.018,0.010,-0.008,-0.012,-0.018,-0.015,0.011,0.018,0.012,0.007,0.002,0.003
1967,-0.000,0.001,0.006,0.014,0.020,0.019,0.013,0.009,-0.002,-0.001,0.004,0.019,0.033,0.027,0.016,0.010,-0.005,-0.006,-0.005,0.012,0.040,0.030,0.016,0.009,-0.007,-0.010,-0.014,-0.010,0.012,0.016,0.010,0.006,0.002,0.003
1968,0.001,0.004,0.008,0.015,0.018,0.015,0.010,0.006,0.000,0.002,0.008,0.022,0.031,0.022,0.012,0.006,-0.002,-0.001,0.004,0.023,0.040,0.024,0.011,0.005,-0.003,-0.004,-0.004,0.005,0.018,0.013,0.006,0.003,0.002,0.003
1969,0.005,0.007,0.012,0.016,0.014,0.008,0.003,0.001,0.005,0.009,0.017,0.029,0.026,0.011,0.003,0.000,0.004,0.009,0.022,0.045,0.042,0.012,0.001,-0.001,0.004,0.008,0.018,0.035,0.031,0.008,-0.001,-0.002,0.003,0.002
1970,0.008,0.011,0.015,0.016,0.009,-0.000,-0.005,-0.005,0.010,0.016,0.027,0.036,0.021,-0.001,-0.008,-0.008,0.011,0.021,0.042,0.072,0.047,0.000,-0.010,-0.009,0.012,0.022,0.044,0.075,0.052,0.005,-0.008,-0.008,0.004,0.001
1971,0.008,0.011,0.015,0.013,0.004,-0.006,-0.009,-0.009,0.011,0.018,0.029,0.036,0.016,-0.008,-0.013,-0.011,0.014,0.026,0.051,0.087,0.053,-0.003,-0.014,-0.012,0.016,0.029,0.058,0.102,0.074,0.010,-0.008,-0.009,0.004,0.001
1972,0.004,0.006,0.008,0.007,0.001,-0.006,-0.008,-0.007,0.007,0.012,0.020,0.026,0.012,-0.005,-0.010,-0.008,0.010,0.019,0.040,0.073,0.054,0.005,-0.007,-0.008,0.012,0.023,0.050,0.094,0.080,0.021,-0.001,-0.004,0.003,0.001
1973,-0.001,-0.001,-0.000,0.000,-0.001,-0.002,-0.002,-0.002,0.000,0.001,0.004,0.009,0.008,0.002,-0.001,-0.002,0.002,0.005,0.014,0.037,0.041,0.015,0.003,0.000,0.004,0.009,0.023,0.055,0.062,0.027,0.009,0.003,0.001,0.001
1974,-0.004,-0.005,-0.006,-0.004,0.001,0.003,0.004,0.003,-0.005,-0.007,-0.008,-0.005,0.005,0.009,0.007,0.004,-0.005,-0.007,-0.009,-0.001,0.021,0.019,0.011,0.006,-0.004,-0.005,-0.005,0.008,0.029,0.023,0.013,0.007,-0.001,0.001
1975,-0.005,-0.006,-0.005,-0.002,0.005,0.009,0.008,0.006,-0.006,-0.009,-0.011,-0.007,0.009,0.015,0.012,0.008,-0.008,-0.013,-0.020,-0.019,0.010,0.021,0.014,0.009,-0.008,-0.013,-0.021,-0.024,0.002,0.016,0.012,0.008,-0.001,0.001
1976,-0.003,-0.003,-0.002,0.004,0.012,0.014,0.012,0.008,-0.006,-0.007,-0.008,0.000,0.017,0.021,0.015,0.010,-0.008,-0.013,-0.019,-0.017,0.014,0.023,0.016,0.010,-0.010,-0.016,-0.026,-0.033,-0.007,0.012,0.011,0.008,0.000,0.002
1977,-0.002,-0.001,0.002,0.010,0.018,0.019,0.014,0.010,-0.004,-0.005,-0.003,0.009,0.027,0.027,0.018,0.011,-0.007,-0.011,-0.016,-0.009,0.023,0.028,0.017,0.010,-0.010,-0.016,-0.026,-0.032,-0.007,0.012,0.011,0.007,0.001,0.003
1978,-0.001,0.000,0.005,0.013,0.021,0.020,0.015,0.010,-0.004,-0.003,0.000,0.015,0.032,0.029,0.018,0.011,-0.007,-0.009,-0.012,-0.000,0.031,0.029,0.017,0.010,-0.009,-0.014,-0.023,-0.026,-0.002,0.012,0.010,0.007,0.001,0.003
1979,-0.001,0.001,0.006,0.015,0.024,0.023,0.017,0.011,-0.004,-0.004,0.001,0.017,0.037,0.033,0.021,0.013,-0.007,-0.011,-0.013,-0.001,0.034,0.033,0.019,0.011,-0.010,-0.016,-0.026,-0.032,-0.005,0.013,0.011,0.007,0.002,0.004
1980,-0.000,0.001,0.006,0.015,0.021,0.020,0.014,0.010,-0.003,-0.002,0.003,0.018,0.034,0.028,0.017,0.010,-0.005,-0.008,-0.008,0.006,0.034,0.029,0.016,0.009,-0.008,-0.012,-0.019,-0.020,0.002,0.012,0.009,0.006,0.002,0.003
1981,-0.001,0.000,0.006,0.017,0.026,0.026,0.019,0.013,-0.005,-0.005,-0.001,0.018,0.040,0.037,0.024,0.015,-0.009,-0.013,-0.017,-0.005,0.035,0.037,0.022,0.013,-0.012,-0.019,-0.032,-0.039,-0.009,0.014,0.012,0.008,0.002,0.004
1982,0.001,0.003,0.007,0.014,0.019,0.017,0.011,0.007,-0.001,0.001,0.006,0.020,0.031,0.024,0.013,0.008,-0.003,-0.004,-0.001,0.015,0.036,0.025,0.012,0.006,-0.005,-0.007,-0.010,-0.006,0.009,0.011,0.007,0.004,0.002,0.003
1983,0.006,0.012,0.022,0.036,0.040,0.030,0.018,0.011,0.004,0.010,0.026,0.054,0.066,0.041,0.020,0.010,0.001,0.004,0.018,0.056,0.077,0.038,0.015,0.006,-0.003,-0.003,-0.000,0.013,0.024,0.013,0.005,0.001,0.005,0.006
1984,0.045,0.059,0.066,0.041,-0.024,-0.071,-0.075,-0.062,0.064,0.098,0.143,0.139,-0.005,-0.108,-0.105,-0.078,0.083,0.142,0.256,0.367,0.120,-0.110,-0.113,-0.081,0.092,0.160,0.293,0.447,0.239,-0.036,-0.081,-0.066,0.014,-0.004
1985,0.065,0.075,0.061,-0.017,-0.140,-0.196,-0.173,-0.130,0.102,0.144,0.178,0.090,-0.189,-0.296,-0.231,-0.157,0.140,0.228,0.374,0.428,-0.064,-0.319,-0.243,-0.158,0.163,0.271,0.467,0.641,0.237,-0.148,-0.170,-0.124,0.010,-0.023
1986,0.065,0.054,-0.014,-0.184,-0.369,-0.394,-0.306,-0.213,0.121,0.144,0.103,-0.181,-0.611,-0.606,-0.400,-0.248,0.179,0.261,0.337,0.094,-0.697,-0.707,-0.420,-0.245,0.214,0.329,0.493,0.474,-0.173,-0.431,-0.307,-0.192,-0.014,-0.061
1987,-0.056,-0.092,-0.146,-0.190,-0.161,-0.078,-0.019,0.006,-0.064,-0.121,-0.237,-0.389,-0.338,-0.121,-0.011,0.019,-0.069,-0.144,-0.334,-0.699,-0.638,-0.174,-0.005,0.029,-0.068,-0.141,-0.319,-0.641,-0.580,-0.167,-0.007,0.027,-0.037,-0.027
1988,-0.058,-0.073,-0.075,-0.030,0.064,0.122,0.119,0.094,-0.086,-0.128,-0.179,-0.150,0.059,0.183,0.161,0.115,-0.114,-0.193,-0.339,-0.460,-0.099,0.185,0.170,0.118,-0.130,-0.223,-0.402,-0.599,-0.301,0.065,0.117,0.093,-0.015,0.010
1989,0.002,0.002,0.000,-0.003,-0.007,-0.008,-0.006,-0.004,0.003,0.003,0.003,-0.002,-0.011,-0.012,-0.008,-0.005,0.004,0.006,0.009,0.005,-0.011,-0.014,-0.009,-0.005,0.005,0.008,0.012,0.013,-0.001,-0.008,-0.006,-0.004,0.000,-0.001
1990,-0.005,-0.005,-0.003,0.004,0.014,0.019,0.016,0.012,-0.008,-0.011,-0.014,-0.006,0.018,0.027,0.021,0.014,-0.012,-0.019,-0.033,-0.039,0.002,0.026,0.020,0.013,-0.014,-0.024,-0.043,-0.063,-0.030,0.008,0.013,0.010,-0.001,0.002
1991,0.003,0.005,0.007,0.009,0.008,0.005,0.002,0.000,0.003,0.005,0.010,0.016,0.014,0.006,0.001,-0.000,0.003,0.006,0.012,0.023,0.020,0.005,-0.000,-0.001,0.002,0.004,0.009,0.016,0.011,0.001,-0.002,-0.002,0.002,0.001
1992,-0.002,-0.001,0.002,0.008,0.015,0.015,0.012,0.008,-0.004,-0.004,-0.003,0.007,0.022,0.022,0.015,0.009,-0.006,-0.010,-0.014,-0.010,0.017,0.022,0.014,0.008,-0.008,-0.013,-0.022,-0.029,-0.009,0.008,0.008,0.006,0.001,0.002
1993,0.001,0.002,0.005,0.009,0.010,0.008,0.005,0.003,0.001,0.002,0.005,0.013,0.017,0.011,0.006,0.003,-0.000,0.000,0.003,0.012,0.019,0.011,0.005,0.002,-0.001,-0.002,-0.002,0.001,0.005,0.004,0.002,0.001,0.001,0.001
1994,-0.001,0.000,0.003,0.008,0.012,0.012,0.009,0.006,-0.002,-0.002,0.000,0.009,0.019,0.017,0.011,0.006,-0.004,-0.006,-0.007,-0.000,0.018,0.017,0.010,0.006,-0.005,-0.008,-0.013,-0.016,-0.002,0.007,0.006,0.004,0.001,0.002
1995,0.001,0.002,0.004,0.008,0.010,0.009,0.006,0.004,-0.000,0.000,0.003,0.011,0.017,0.013,0.007,0.004,-0.002,-0.002,-0.000,0.008,0.019,0.013,0.006,0.003,-0.003,-0.004,-0.005,-0.004,0.004,0.005,0.003,0.002,0.001,0.002
1996,0.000,0.001,0.003,0.007,0.010,0.009,0.006,0.004,-0.001,-0.001,0.002,0.009,0.016,0.013,0.008,0.005,-0.002,-0.003,-0.003,0.004,0.017,0.013,0.007,0.004,-0.003,-0.005,-0.008,-0.007,0.002,0.006,0.004,0.002,0.001,0.002
1997,0.001,0.001,0.003,0.007,0.009,0.007,0.005,0.003,0.000,0.001,0.003,0.009,0.014,0.010,0.006,0.003,-0.001,-0.001,0.000,0.008,0.016,0.010,0.005,0.003,-0.002,-0.003,-0.003,-0.002,0.004,0.005,0.003,0.002,0.001,0.001
1998,0.001,0.001,0.003,0.005,0.006,0.005,0.003,0.002,0.000,0.001,0.003,0.008,0.010,0.007,0.003,0.002,-0.000,0.000,0.002,0.008,0.012,0.007,0.003,0.001,-0.001,-0.001,-0.001,0.001,0.004,0.003,0.001,0.001,0.001,0.001
1999,0.001,0.002,0.002,0.003,0.003,0.002,0.001,0.000,0.001,0.002,0.004,0.006,0.005,0.002,0.001,0.000,0.001,0.002,0.004,0.009,0.008,0.002,0.000,-0.000,0.001,0.001,0.003,0.006,0.005,0.001,-0.000,-0.001,0.001,0.000
2000,0.001,0.002,0.002,0.000,-0.002,-0.003,-0.003,-0.002,0.002,0.003,0.004,0.003,-0.002,-0.004,-0.004,-0.003,0.002,0.004,0.007,0.009,0.001,-0.004,-0.004,-0.003,0.003,0.005,0.008,0.012,0.005,-0.002,-0.003,-0.002,0.000,-0.000
2001,0.002,0.001,0.000,-0.003,-0.007,-0.008,-0.007,-0.005,0.003,0.004,0.003,-0.002,-0.011,-0.012,-0.009,-0.006,0.004,0.007,0.010,0.008,-0.008,-0.013,-0.009,-0.005,0.005,0.008,0.014,0.018,0.005,-0.006,-0.006,-0.004,0.000,-0.001
2002,0.002,0.001,-0.002,-0.008,-0.015,-0.015,-0.012,-0.008,0.004,0.004,0.003,-0.007,-0.022,-0.022,-0.014,-0.009,0.006,0.009,0.013,0.007,-0.020,-0.023,-0.014,-0.008,0.008,0.013,0.021,0.025,0.004,-0.010,-0.009,-0.006,-0.001,-0.002
2003,0.002,0.000,-0.004,-0.014,-0.023,-0.023,-0.017,-0.012,0.005,0.005,0.001,-0.015,-0.036,-0.033,-0.021,-0.013,0.008,0.012,0.015,0.003,-0.034,-0.034,-0.020,-0.012,0.011,0.017,0.027,0.031,0.002,-0.016,-0.013,-0.008,-0.001,-0.004
2004,0.002,-0.001,-0.007,-0.020,-0.032,-0.031,-0.023,-0.015,0.005,0.005,-0.001,-0.023,-0.050,-0.045,-0.028,-0.017,0.010,0.014,0.017,-0.002,-0.050,-0.047,-0.027,-0.015,0.014,0.021,0.033,0.036,-0.001,-0.021,-0.016,-0.011,-0.002,-0.005
2005,0.001,-0.002,-0.011,-0.027,-0.041,-0.039,-0.028,-0.019,0.006,0.005,-0.003,-0.033,-0.065,-0.056,-0.035,-0.021,0.012,0.016,0.018,-0.009,-0.068,-0.059,-0.033,-0.019,0.016,0.025,0.038,0.040,-0.006,-0.027,-0.020,-0.012,-0.003,-0.006
2006,0.001,-0.003,-0.014,-0.034,-0.050,-0.046,-0.033,-0.022,0.006,0.004,-0.007,-0.042,-0.079,-0.066,-0.040,-0.024,0.013,0.017,0.017,-0.017,-0.085,-0.069,-0.038,-0.021,0.018,0.028,0.042,0.041,-0.011,-0.032,-0.023,-0.014,-0.004,-0.008
2007,0.000,-0.005,-0.018,-0.040,-0.057,-0.052,-0.037,-0.024,0.006,0.003,-0.011,-0.052,-0.092,-0.075,-0.045,-0.026,0.013,0.017,0.015,-0.027,-0.100,-0.078,-0.042,-0.023,0.019,0.029,0.042,0.039,-0.017,-0.036,-0.025,-0.015,-0.005,-0.009
2008,-0.001,-0.007,-0.021,-0.044,-0.062,-0.055,-0.039,-0.025,0.005,0.002,-0.015,-0.059,-0.100,-0.080,-0.047,-0.027,0.013,0.016,0.011,-0.036,-0.111,-0.083,-0.044,-0.024,0.019,0.029,0.041,0.034,-0.023,-0.039,-0.025,-0.015,-0.005,-0.010
2009,-0.002,-0.008,-0.023,-0.047,-0.064,-0.056,-0.039,-0.025,0.004,-0.000,-0.018,-0.064,-0.104,-0.081,-0.047,-0.027,0.012,0.014,0.007,-0.045,-0.118,-0.085,-0.043,-0.023,0.018,0.027,0.037,0.028,-0.028,-0.039,-0.025,-0.014,-0.006,-0.010
2010,-0.003,-0.009,-0.024,-0.048,-0.063,-0.055,-0.038,-0.024,0.003,-0.002,-0.021,-0.067,-0.103,-0.079,-0.045,-0.025,0.010,0.011,0.002,-0.051,-0.120,-0.082,-0.041,-0.021,0.017,0.024,0.032,0.019,-0.032,-0.039,-0.023,-0.013,-0.006,-0.010
2011,-0.003,-0.010,-0.024,-0.046,-0.059,-0.051,-0.034,-0.022,0.001,-0.004,-0.022,-0.065,-0.098,-0.072,-0.041,-0.023,0.008,0.008,-0.003,-0.055,-0.115,-0.076,-0.037,-0.019,0.014,0.020,0.025,0.011,-0.034,-0.036,-0.021,-0.011,-0.006,-0.009
2012,-0.004,-0.010,-0.023,-0.042,-0.053,-0.045,-0.030,-0.019,0.000,-0.005,-0.022,-0.061,-0.088,-0.063,-0.035,-0.019,0.006,0.005,-0.007,-0.056,-0.106,-0.067,-0.031,-0.016,0.011,0.015,0.018,0.002,-0.035,-0.032,-0.017,-0.009,-0.006,-0.008
2013,-0.004,-0.009,-0.020,-0.036,-0.045,-0.037,-0.024,-0.015,-0.001,-0.006,-0.021,-0.054,-0.075,-0.053,-0.028,-0.015,0.004,0.002,-0.010,-0.053,-0.092,-0.055,-0.025,-0.012,0.008,0.011,0.011,-0.005,-0.033,-0.026,-0.013,-0.007,-0.005,-0.007
2014,-0.004,-0.008,-0.017,-0.030,-0.036,-0.029,-0.018,-0.011,-0.002,-0.006,-0.019,-0.046,-0.060,-0.041,-0.021,-0.011,0.002,-0.001,-0.012,-0.048,-0.075,-0.043,-0.018,-0.009,0.005,0.006,0.004,-0.011,-0.030,-0.020,-0.009,-0.004,-0.004,-0.006
2015,-0.004,-0.007,-0.014,-0.023,-0.026,-0.020,-0.013,-0.007,-0.002,-0.006,-0.016,-0.036,-0.045,-0.029,-0.014,-0.007,0.000,-0.003,-0.012,-0.041,-0.058,-0.030,-0.012,-0.005,0.002,0.002,-0.001,-0.014,-0.026,-0.014,-0.006,-0.002,-0.003,-0.004
2016,-0.003,-0.006,-0.011,-0.016,-0.017,-0.013,-0.007,-0.004,-0.003,-0.006,-0.013,-0.026,-0.030,-0.018,-0.008,-0.004,-0.001,-0.004,-0.012,-0.033,-0.040,-0.018,-0.006,-0.002,0.000,-0.001,-0.005,-0.016,-0.021,-0.009,-0.002,-0.000,-0.003,-0.003
2017,-0.003,-0.004,-0.007,-0.010,-0.009,-0.006,-0.003,-0.001,-0.003,-0.005,-0.010,-0.017,-0.017,-0.008,-0.003,-0.001,-0.002,-0.005,-0.012,-0.025,-0.024,-0.008,-0.001,0.000,-0.002,-0.004,-0.008,-0.017,-0.015,-0.004,0.000,0.001,-0.002,-0.001
2018,-0.002,-0.003,-0.004,-0.005,-0.003,-0.000,0.001,0.001,-0.003,-0.004,-0.007,-0.009,-0.005,0.000,0.002,0.002,-0.003,-0.005,-0.011,-0.018,-0.010,0.001,0.003,0.002,-0.003,-0.005,-0.010,-0.017,-0.010,0.001,0.003,0.002,-0.001,-0.000
2019,-0.002,-0.002,-0.002,-0.000,0.003,0.004,0.004,0.003,-0.003,-0.004,-0.005,-0.003,0.003,0.006,0.005,0.004,-0.003,-0.006,-0.009,-0.011,0.001,0.007,0.006,0.004,-0.004,-0.007,-0.012,-0.016,-0.006,0.004,0.004,0.003,-0.000,0.000
2020,-0.001,-0.001,0.000,0.003,0.007,0.007,0.006,0.004,-0.002,-0.003,-0.003,0.002,0.010,0.011,0.008,0.005,-0.004,-0.006,-0.008,-0.006,0.009,0.013,0.008,0.005,-0.005,-0.008,-0.012,-0.015,-0.002,0.007,0.006,0.004,0.000,0.001
2021,-0.001,-0.001,0.001,0.005,0.009,0.010,0.008,0.005,-0.002,-0.003,-0.001,0.006,0.015,0.015,0.010,0.006,-0.004,-0.006,-0.007,-0.002,0.016,0.016,0.010,0.006,-0.005,-0.008,-0.013,-0.014,0.001,0.009,0.007,0.004,0.000,0.002
2022,-0.001,0.000,0.002,0.007,0.012,0.011,0.009,0.006,-0.002,-0.002,0.000,0.008,0.018,0.017,0.011,0.007,-0.004,-0.006,-0.007,0.001,0.020,0.019,0.011,0.006,-0.005,-0.009,-0.013,-0.013,0.003,0.010,0.007,0.005,0.001,0.002
2023,-0.001,0.000,0.003,0.008,0.013,0.012,0.009,0.006,-0.002,-0.002,0.001,0.010,0.021,0.018,0.012,0.007,-0.004,-0.006,-0.006,0.003,0.024,0.021,0.012,0.007,-0.006,-0.009,-0.013,-0.013,0.004,0.011,0.008,0.005,0.001,0.002
2024,-0.001,0.001,0.003,0.009,0.014,0.013,0.010,0.007,-0.002,-0.002,0.001,0.011,0.022,0.019,0.012,0.007,-0.004,-0.006,-0.006,0.005,0.026,0.022,0.012,0.007,-0.006,-0.009,-0.013,-0.012,0.005,0.012,0.008,0.005,0.001,0.002
2025,-0.000,0.001,0.004,0.009,0.014,0.014,0.010,0.007,-0.002,-0.002,0.002,0.012,0.023,0.020,0.013,0.008,-0.004,-0.006,-0.005,0.005,0.027,0.023,0.013,0.007,-0.006,-0.009,-0.013,-0.012,0.006,0.012,0.008,0.005,0.001,0.002
2026,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.002,0.002,0.012,0.024,0.020,0.013,0.008,-0.004,-0.006,-0.005,0.006,0.028,0.023,0.013,0.007,-0.006,-0.009,-0.013,-0.012,0.007,0.013,0.008,0.005,0.001,0.002
2027,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.002,0.002,0.013,0.024,0.021,0.013,0.008,-0.004,-0.006,-0.005,0.006,0.028,0.023,0.013,0.007,-0.006,-0.009,-0.013,-0.012,0.007,0.013,0.009,0.005,0.001,0.002
2028,-0.000,0.001,0.004,0.010,0.015,0.014,0.010,0.007,-0.002,-0.002,0.002,0.013,0.024,0.021,0.013,0.008,-0.004,-0.006,-0.005,0.007,0.029,0.024,0.013,0.007,-0.006,-0.009,-0.013,-0.012,0.007,0.013,0.009,0.005,0.001,0.002
2029,-0.000,0.001,0.004,0.010,0.015,0.014,0.011,0.007,-0.002,-0.002,0.002,0.013,0.024,0.021,0.013,0.008,-0.004,-0.006,-0.005,0.007,0.029,0.024,0.013,0.007,-0.006,-0.009,-0.014,-0.012,0.008,0.013,0.009,0.005,0.001,0.002
2030,-0.000,0.001,0.004,0.010,0.015,0.014,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.021,0.013,0.008,-0.004,-0.006,-0.005,0.007,0.030,0.024,0.013,0.007,-0.006,-0.009,-0.014,-0.012,0.008,0.014,0.009,0.005,0.001,0.002
2031,-0.000,0.001,0.004,0.010,0.015,0.014,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.021,0.013,0.008,-0.004,-0.006,-0.005,0.007,0.030,0.024,0.014,0.008,-0.006,-0.009,-0.014,-0.012,0.008,0.014,0.009,0.005,0.001,0.002
2032,-0.000,0.001,0.004,0.010,0.015,0.014,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.008,-0.004,-0.006,-0.005,0.007,0.030,0.025,0.014,0.008,-0.006,-0.009,-0.014,-0.012,0.008,0.014,0.009,0.005,0.001,0.002
2033,-0.000,0.001,0.004,0.010,0.015,0.015,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.008,-0.004,-0.006,-0.005,0.007,0.030,0.025,0.014,0.008,-0.006,-0.010,-0.014,-0.012,0.009,0.014,0.009,0.006,0.001,0.002
2034,-0.000,0.001,0.004,0.010,0.015,0.015,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.008,-0.004,-0.006,-0.005,0.007,0.030,0.025,0.014,0.008,-0.006,-0.010,-0.014,-0.012,0.009,0.014,0.009,0.006,0.001,0.002
2035,-0.000,0.001,0.004,0.010,0.015,0.015,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.008,-0.005,-0.006,-0.005,0.008,0.031,0.025,0.014,0.008,-0.006,-0.010,-0.014,-0.012,0.009,0.015,0.010,0.006,0.001,0.003
2036,-0.000,0.001,0.004,0.010,0.015,0.015,0.011,0.007,-0.002,-0.002,0.002,0.013,0.025,0.022,0.014,0.008,-0.005,-0.006,-0.005,0.008,0.031,0.025,0.014,0.008,-0.006,-0.010,-0.014,-0.012,0.009,0.015,0.010,0.006,0.001,0.003
